"등록현황별(1)","등록현황별(2)",군구별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체",강화군,2490,2500,2565,2521,2516,2536,2541,2565,2545,2544,2527,2506
"장애유형","지체",옹진군,738,769,771,750,744,744,763,762,747,760,749,746
"장애유형","지체",중구,3066,3067,3077,3035,3012,3006,2892,2901,2912,2947,2984,2969
"장애유형","지체",동구,2001,2034,2068,2171,2211,2238,2320,2416,2471,2551,2660,2721
"장애유형","지체",미추홀구,10108,10250,10508,10594,10672,10890,11099,11287,11236,11124,11385,11528
"장애유형","지체",연수구,6361,6418,6498,6649,6678,6601,6435,6364,6421,6407,6452,6443
"장애유형","지체",남동구,11567,11693,11953,12178,12405,12557,12708,12779,12732,12761,12560,12429
"장애유형","지체",부평구,11437,11650,11817,11950,12202,12507,12845,13186,13465,13788,13968,14220
"장애유형","지체",계양구,6384,6511,6684,6840,6826,6931,7131,7259,7365,7487,7561,7702
"장애유형","지체",서구,11705,11717,11496,11254,11270,11368,11385,11239,11255,11323,11366,11354
"장애유형","시각",강화군,507,513,529,520,519,509,839,493,500,495,495,501
"장애유형","시각",옹진군,146,143,146,138,137,145,202,135,130,121,130,126
"장애유형","시각",중구,721,698,676,679,653,629,735,579,576,582,590,577
"장애유형","시각",동구,371,378,374,382,389,400,723,420,429,438,450,479
"장애유형","시각",미추홀구,2173,2163,2205,2180,2164,2167,3073,2232,2222,2176,2166,2199
"장애유형","시각",연수구,1213,1213,1197,1192,1198,1173,1491,1112,1098,1069,1039,1038
"장애유형","시각",남동구,2372,2386,2441,2475,2476,2451,3413,2463,2477,2458,2376,2307
"장애유형","시각",부평구,2531,2566,2564,2578,2632,2705,3834,2825,2827,2870,2878,2905
"장애유형","시각",계양구,1382,1381,1390,1400,1380,1382,1839,1435,1440,1437,1444,1440
"장애유형","시각",서구,2409,2353,2278,2207,2179,2193,2808,2092,2069,2050,2058,2032
"장애유형","청각",강화군,1141,1119,1160,1140,1141,1061,47,744,648,590,604,600
"장애유형","청각",옹진군,289,292,278,270,259,231,16,179,167,143,143,139
"장애유형","청각",중구,1386,1353,1254,1125,1011,921,49,650,600,568,559,566
"장애유형","청각",동구,1192,1204,1144,1088,1002,873,42,574,505,467,497,502
"장애유형","청각",미추홀구,4977,4925,4650,4283,3809,3476,220,2582,2235,2021,2078,2149
"장애유형","청각",연수구,2294,2311,2226,2106,1975,1732,96,1261,1144,1060,1073,1038
"장애유형","청각",남동구,5015,4950,4765,4515,4221,3886,218,2667,2293,2150,2051,2096
"장애유형","청각",부평구,5273,5167,4979,4654,4329,4136,311,3304,2970,2795,2834,2870
"장애유형","청각",계양구,2504,2462,2391,2286,2114,2000,120,1603,1423,1389,1450,1456
"장애유형","청각",서구,4397,4277,4051,3661,3376,3120,200,2269,2010,1814,1844,1870
"장애유형","언어",강화군,48,47,51,48,47,45,520,47,44,49,49,49
"장애유형","언어",옹진군,14,13,15,15,16,13,186,17,18,15,15,12
"장애유형","언어",중구,64,60,63,62,55,49,366,52,51,50,41,37
"장애유형","언어",동구,40,34,33,35,39,38,284,39,37,38,39,35
"장애유형","언어",미추홀구,249,251,266,247,228,220,1446,208,196,194,176,174
"장애유형","언어",연수구,140,149,153,154,144,129,969,90,89,92,81,85
"장애유형","언어",남동구,271,284,287,293,280,253,1694,221,207,198,183,170
"장애유형","언어",부평구,285,285,306,320,315,323,2004,295,278,259,243,230
"장애유형","언어",계양구,125,118,122,121,129,129,1056,116,110,106,103,108
"장애유형","언어",서구,258,265,265,248,235,215,1579,187,163,163,158,134
"장애유형","지적",강화군,551,555,554,546,546,544,501,499,470,450,434,425
"장애유형","지적",옹진군,167,172,179,176,180,185,106,190,220,218,227,223
"장애유형","지적",중구,535,512,476,441,422,397,516,317,299,295,296,277
"장애유형","지적",동구,316,319,306,299,300,295,369,288,296,294,286,287
"장애유형","지적",미추홀구,1807,1724,1691,1634,1546,1494,1998,1392,1293,1211,1157,1129
"장애유형","지적",연수구,1166,1138,1103,1088,1080,1022,1262,956,951,913,893,863
"장애유형","지적",남동구,2047,1958,1901,1865,1840,1787,2455,1589,1552,1481,1386,1314
"장애유형","지적",부평구,2225,2161,2106,2060,2044,2058,2608,2005,1944,1926,1897,1841
"장애유형","지적",계양구,1180,1165,1168,1122,1109,1068,1374,1058,1039,1010,976,943
"장애유형","지적",서구,2121,2045,1930,1834,1756,1671,2035,1492,1423,1380,1346,1295
"장애유형","뇌병변",강화군,447,464,484,481,485,515,498,512,520,519,526,527
"장애유형","뇌병변",옹진군,113,109,112,116,115,116,144,107,102,100,97,97
"장애유형","뇌병변",중구,592,574,576,576,526,531,591,506,486,507,522,501
"장애유형","뇌병변",동구,357,355,360,370,367,376,404,387,388,419,429,442
"장애유형","뇌병변",미추홀구,1988,2023,2024,2035,2002,1973,2215,1963,1899,1854,1897,1964
"장애유형","뇌병변",연수구,1267,1283,1287,1293,1315,1276,1151,1218,1171,1143,1118,1115
"장애유형","뇌병변",남동구,2357,2377,2416,2395,2437,2454,2433,2422,2375,2374,2248,2231
"장애유형","뇌병변",부평구,2439,2485,2501,2496,2510,2579,2769,2604,2591,2594,2600,2603
"장애유형","뇌병변",계양구,1334,1334,1341,1373,1357,1375,1386,1358,1352,1356,1357,1352
"장애유형","뇌병변",서구,2297,2277,2201,2117,2076,2050,2165,1991,1940,1934,1867,1855
"장애유형","자폐성",강화군,79,72,67,59,54,52,51,54,46,42,36,30
"장애유형","자폐성",옹진군,15,14,16,14,13,13,13,13,14,12,13,12
"장애유형","자폐성",중구,107,85,69,55,49,39,32,29,24,21,21,19
"장애유형","자폐성",동구,52,42,35,34,35,36,34,35,32,31,29,27
"장애유형","자폐성",미추홀구,346,295,245,226,204,195,180,157,149,134,125,113
"장애유형","자폐성",연수구,366,309,255,227,198,171,154,152,137,131,122,119
"장애유형","자폐성",남동구,466,429,391,358,334,304,288,265,233,197,186,182
"장애유형","자폐성",부평구,408,379,329,279,267,258,246,243,237,240,228,222
"장애유형","자폐성",계양구,285,262,243,237,214,203,191,182,170,153,140,138
"장애유형","자폐성",서구,527,456,381,317,288,242,226,201,188,160,150,136
"장애유형","정신",강화군,250,258,268,265,269,271,264,260,248,253,247,248
"장애유형","정신",옹진군,31,33,32,30,32,31,30,31,31,30,29,29
"장애유형","정신",중구,212,208,198,175,158,154,145,141,141,154,163,170
"장애유형","정신",동구,136,150,151,162,162,165,160,165,164,166,165,170
"장애유형","정신",미추홀구,684,701,705,695,707,677,661,664,622,613,590,588
"장애유형","정신",연수구,380,384,396,409,408,413,393,389,391,366,354,352
"장애유형","정신",남동구,869,858,841,835,808,809,786,767,749,734,663,641
"장애유형","정신",부평구,940,938,961,949,974,988,986,984,982,961,969,959
"장애유형","정신",계양구,488,488,482,476,450,455,438,432,424,413,386,369
"장애유형","정신",서구,924,927,887,869,864,850,844,846,818,796,791,786
"장애유형","신장",강화군,202,209,202,190,181,173,154,137,129,113,110,105
"장애유형","신장",옹진군,38,34,34,30,25,21,17,16,17,16,16,18
"장애유형","신장",중구,305,287,261,234,218,204,180,173,173,158,150,144
"장애유형","신장",동구,165,151,145,154,148,148,135,136,124,130,131,127
"장애유형","신장",미추홀구,1060,1011,1006,961,914,886,849,813,744,683,675,650
"장애유형","신장",연수구,685,648,628,604,557,512,491,454,439,399,363,348
"장애유형","신장",남동구,1228,1222,1198,1179,1119,1070,1000,963,872,834,731,678
"장애유형","신장",부평구,1311,1268,1245,1169,1099,1057,1027,989,959,928,886,840
"장애유형","신장",계양구,746,750,716,712,660,609,579,550,498,473,457,416
"장애유형","신장",서구,1208,1160,1084,1006,947,894,865,789,737,680,643,596
"장애유형","심장",강화군,6,8,10,11,10,8,6,5,6,5,7,8
"장애유형","심장",옹진군,2,1,3,3,2,2,2,2,2,2,2,2
"장애유형","심장",중구,13,15,13,11,14,11,7,10,5,8,8,10
"장애유형","심장",동구,7,8,7,7,7,5,7,6,7,8,7,10
"장애유형","심장",미추홀구,46,44,37,36,35,34,33,31,26,22,29,41
"장애유형","심장",연수구,23,27,32,30,24,25,24,22,21,20,21,19
"장애유형","심장",남동구,50,47,46,52,57,50,48,40,37,43,48,44
"장애유형","심장",부평구,36,42,39,42,42,44,45,43,54,54,60,71
"장애유형","심장",계양구,22,22,22,24,20,23,24,24,23,23,27,24
"장애유형","심장",서구,54,50,45,46,47,41,41,41,42,39,40,48
"장애유형","호흡기",강화군,22,24,26,25,26,27,29,26,27,28,27,26
"장애유형","호흡기",옹진군,3,3,3,4,4,6,7,10,9,6,5,6
"장애유형","호흡기",중구,28,26,27,23,21,19,20,17,19,23,25,25
"장애유형","호흡기",동구,16,16,17,18,16,15,20,17,16,21,22,22
"장애유형","호흡기",미추홀구,96,99,98,108,103,107,108,104,102,98,106,113
"장애유형","호흡기",연수구,58,58,55,53,60,67,68,65,65,60,67,57
"장애유형","호흡기",남동구,101,105,110,116,116,120,131,125,121,139,134,154
"장애유형","호흡기",부평구,107,109,110,109,106,104,102,110,117,122,122,136
"장애유형","호흡기",계양구,66,68,75,76,72,75,71,64,66,70,70,77
"장애유형","호흡기",서구,84,88,94,100,103,103,95,95,95,90,87,95
"장애유형","간",강화군,28,29,29,30,32,33,29,25,23,19,20,20
"장애유형","간",옹진군,6,5,8,8,5,3,3,3,2,3,3,3
"장애유형","간",중구,50,48,47,40,33,31,27,23,22,18,18,19
"장애유형","간",동구,7,9,12,11,11,10,9,10,9,9,9,6
"장애유형","간",미추홀구,104,94,90,97,89,89,88,83,75,70,66,61
"장애유형","간",연수구,86,85,84,73,71,70,55,53,55,49,51,50
"장애유형","간",남동구,140,136,129,123,127,113,117,113,113,103,85,81
"장애유형","간",부평구,147,135,135,134,129,121,126,125,128,119,112,104
"장애유형","간",계양구,88,90,91,91,79,74,67,64,61,55,56,51
"장애유형","간",서구,170,160,136,121,115,105,103,96,88,80,71,68
"장애유형","안면",강화군,6,6,6,5,5,5,4,4,4,4,4,4
"장애유형","안면",옹진군,1,1,1,1,2,2,1,1,,0,0,
"장애유형","안면",중구,3,4,3,5,4,4,3,3,2,2,1,1
"장애유형","안면",동구,5,6,5,6,6,5,5,5,5,6,6,6
"장애유형","안면",미추홀구,26,23,24,23,26,26,25,25,23,22,24,25
"장애유형","안면",연수구,13,13,12,12,9,8,6,7,6,8,8,10
"장애유형","안면",남동구,22,21,22,23,23,22,23,24,23,24,26,24
"장애유형","안면",부평구,21,23,21,23,25,25,27,25,28,27,27,29
"장애유형","안면",계양구,14,15,14,14,14,12,12,13,13,10,12,13
"장애유형","안면",서구,36,35,36,32,32,33,35,34,33,29,28,32
"장애유형","장루,요루",강화군,45,42,43,36,33,35,39,41,36,34,35,34
"장애유형","장루,요루",옹진군,10,10,10,10,10,11,9,7,7,9,10,9
"장애유형","장루,요루",중구,51,48,48,45,49,50,49,40,41,32,32,34
"장애유형","장루,요루",동구,29,26,27,26,26,26,25,27,26,23,24,26
"장애유형","장루,요루",미추홀구,182,187,173,165,159,167,157,146,133,127,126,127
"장애유형","장루,요루",연수구,114,100,99,87,82,78,71,59,58,60,63,52
"장애유형","장루,요루",남동구,202,205,200,175,170,164,164,164,163,147,145,142
"장애유형","장루,요루",부평구,151,140,141,132,124,124,133,132,126,124,121,117
"장애유형","장루,요루",계양구,83,84,84,77,75,76,71,75,76,72,69,76
"장애유형","장루,요루",서구,178,166,150,128,112,115,107,108,103,104,102,98
"장애유형","뇌전증",강화군,11,14,14,13,14,17,15,15,12,17,13,16
"장애유형","뇌전증",옹진군,1,1,1,1,2,2,1,1,1,1,3,3
"장애유형","뇌전증",중구,12,13,16,19,18,16,14,12,12,13,14,19
"장애유형","뇌전증",동구,9,9,9,9,9,8,7,11,10,10,9,12
"장애유형","뇌전증",미추홀구,60,60,62,72,71,72,70,61,57,56,58,57
"장애유형","뇌전증",연수구,50,46,45,45,44,44,40,40,39,41,41,41
"장애유형","뇌전증",남동구,69,65,74,74,69,72,73,65,67,68,74,67
"장애유형","뇌전증",부평구,84,87,82,81,86,83,83,86,84,84,86,85
"장애유형","뇌전증",계양구,38,44,46,46,40,40,41,44,50,45,47,48
"장애유형","뇌전증",서구,52,54,54,48,49,49,51,44,41,48,55,62
